scope,county,department,category,fiscal_year,method,score,pct_change,amount,prev_amount,note,script_line
crosssection_year,"Pike County, IN",PIKE COUNTY,,2022,IsolationForest,0.5,,10754158.0,,Cross-sectional anomaly vs peers (totals + mix),"Pike County, IN: PIKE COUNTY in 2022 → $10,754,158 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
crosssection_year,"Pike County, IN",PIKE COUNTY,,2022,ECOD,0.0,,10754158.0,,Statistical outlier vs peers (ECOD),"Pike County, IN: PIKE COUNTY in 2022 → $10,754,158 — flagged by ECOD (Statistical outlier vs peers (ECOD))"
timeseries_annual,"Pike County, IN",PIKE COUNTY,TOTAL,2023,robust_z|pct_change,0.5210670815665377,10.174511105378961,11848341.0,10754158.0,Annual spike vs history,"Pike County, IN: PIKE COUNTY / TOTAL in 2023 → $11,848,341 (10% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Pike County, IN",PIKE COUNTY,,2023,IsolationForest,0.5,,11848341.0,,Cross-sectional anomaly vs peers (totals + mix),"Pike County, IN: PIKE COUNTY in 2023 → $11,848,341 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
crosssection_year,"Pike County, IN",PIKE COUNTY,,2023,ECOD,0.0,,11848341.0,,Statistical outlier vs peers (ECOD),"Pike County, IN: PIKE COUNTY in 2023 → $11,848,341 — flagged by ECOD (Statistical outlier vs peers (ECOD))"
timeseries_annual,"Pike County, IN",PIKE COUNTY,TOTAL,2024,robust_z|pct_change,0.5210670815665377,8.092635078615647,12807184.0,11848341.0,Annual spike vs history,"Pike County, IN: PIKE COUNTY / TOTAL in 2024 → $12,807,184 (8% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Pike County, IN",PIKE COUNTY,,2024,IsolationForest,0.5,,12807184.0,,Cross-sectional anomaly vs peers (totals + mix),"Pike County, IN: PIKE COUNTY in 2024 → $12,807,184 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
crosssection_year,"Pike County, IN",PIKE COUNTY,,2024,ECOD,0.0,,12807184.0,,Statistical outlier vs peers (ECOD),"Pike County, IN: PIKE COUNTY in 2024 → $12,807,184 — flagged by ECOD (Statistical outlier vs peers (ECOD))"
crosssection_year,"Pike County, IN",PIKE COUNTY,,2025,IsolationForest,0.5,,13089524.0,,Cross-sectional anomaly vs peers (totals + mix),"Pike County, IN: PIKE COUNTY in 2025 → $13,089,524 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
crosssection_year,"Pike County, IN",PIKE COUNTY,,2025,ECOD,0.0,,13089524.0,,Statistical outlier vs peers (ECOD),"Pike County, IN: PIKE COUNTY in 2025 → $13,089,524 — flagged by ECOD (Statistical outlier vs peers (ECOD))"
