scope,county,department,category,fiscal_year,method,score,pct_change,amount,prev_amount,note,script_line
crosssection_year,"Gibson County, IN",GIBSON COUNTY,,2022,IsolationForest,0.5,,63666762.0,,Cross-sectional anomaly vs peers (totals + mix),"Gibson County, IN: GIBSON COUNTY in 2022 → $63,666,762 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
crosssection_year,"Gibson County, IN",GIBSON COUNTY,,2022,ECOD,0.0,,63666762.0,,Statistical outlier vs peers (ECOD),"Gibson County, IN: GIBSON COUNTY in 2022 → $63,666,762 — flagged by ECOD (Statistical outlier vs peers (ECOD))"
timeseries_annual,"Gibson County, IN",GIBSON COUNTY,HEALTH,2023,robust_z|pct_change,4.429942946781315,-3.653205883228377,453171.0,470354.0,Annual spike vs history,"Gibson County, IN: GIBSON COUNTY / HEALTH in 2023 → $453,171 (-4% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Gibson County, IN",GIBSON COUNTY,CUMULATIVE BUILDING,2023,robust_z|pct_change,0.6745,70.2187786259542,1114933.0,655000.0,Annual spike vs history,"Gibson County, IN: GIBSON COUNTY / CUMULATIVE BUILDING in 2023 → $1,114,933 (70% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Gibson County, IN",GIBSON COUNTY,LOCAL INCOME TAX,2023,robust_z|pct_change,0.6608461538461539,9.25925925925926,295000.0,270000.0,Annual spike vs history,"Gibson County, IN: GIBSON COUNTY / LOCAL INCOME TAX in 2023 → $295,000 (9% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Gibson County, IN",GIBSON COUNTY,CUMULATIVE BRIDGE,2023,robust_z|pct_change,0.632625726029492,10.20284131705816,1718988.0,1559840.0,Annual spike vs history,"Gibson County, IN: GIBSON COUNTY / CUMULATIVE BRIDGE in 2023 → $1,718,988 (10% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Gibson County, IN",GIBSON COUNTY,,2023,IsolationForest,0.5,,64018300.0,,Cross-sectional anomaly vs peers (totals + mix),"Gibson County, IN: GIBSON COUNTY in 2023 → $64,018,300 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
timeseries_annual,"Gibson County, IN",GIBSON COUNTY,2015 REASSESSMENT,2023,robust_z|pct_change,0.1744799530221633,-18.60759986671456,188084.0,231083.0,Annual spike vs history,"Gibson County, IN: GIBSON COUNTY / 2015 REASSESSMENT in 2023 → $188,084 (-19% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Gibson County, IN",GIBSON COUNTY,,2023,ECOD,0.0,,64018300.0,,Statistical outlier vs peers (ECOD),"Gibson County, IN: GIBSON COUNTY in 2023 → $64,018,300 — flagged by ECOD (Statistical outlier vs peers (ECOD))"
timeseries_annual,"Gibson County, IN",GIBSON COUNTY,LOCAL INCOME TAX,2024,robust_z|pct_change,0.6608461538461539,410.1694915254237,1505000.0,295000.0,Annual spike vs history,"Gibson County, IN: GIBSON COUNTY / LOCAL INCOME TAX in 2024 → $1,505,000 (410% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Gibson County, IN",GIBSON COUNTY,TOTAL,2024,robust_z|pct_change,0.6491749374863556,14.07600326781561,36514759.0,32009150.0,Annual spike vs history,"Gibson County, IN: GIBSON COUNTY / TOTAL in 2024 → $36,514,759 (14% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Gibson County, IN",GIBSON COUNTY,CUMULATIVE BRIDGE,2024,robust_z|pct_change,0.632625726029492,20.694850691220648,2074730.0,1718988.0,Annual spike vs history,"Gibson County, IN: GIBSON COUNTY / CUMULATIVE BRIDGE in 2024 → $2,074,730 (21% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Gibson County, IN",GIBSON COUNTY,,2024,IsolationForest,0.5,,73029518.0,,Cross-sectional anomaly vs peers (totals + mix),"Gibson County, IN: GIBSON COUNTY in 2024 → $73,029,518 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
timeseries_annual,"Gibson County, IN",GIBSON COUNTY,GENERAL,2024,robust_z|pct_change,0.43896505047101936,11.010208443714214,21151158.0,19053345.0,Annual spike vs history,"Gibson County, IN: GIBSON COUNTY / GENERAL in 2024 → $21,151,158 (11% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Gibson County, IN",GIBSON COUNTY,,2024,ECOD,0.0,,73029518.0,,Statistical outlier vs peers (ECOD),"Gibson County, IN: GIBSON COUNTY in 2024 → $73,029,518 — flagged by ECOD (Statistical outlier vs peers (ECOD))"
timeseries_annual,"Gibson County, IN",GIBSON COUNTY,CUMULATIVE BUILDING,2025,robust_z|pct_change,2.522312616185401,-97.75771279529802,25000.0,1114933.0,Annual spike vs history,"Gibson County, IN: GIBSON COUNTY / CUMULATIVE BUILDING in 2025 → $25,000 (-98% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Gibson County, IN",GIBSON COUNTY,2015 REASSESSMENT,2025,robust_z|pct_change,1.3368744040559082,-24.182885139578428,151033.0,199207.0,Annual spike vs history,"Gibson County, IN: GIBSON COUNTY / 2015 REASSESSMENT in 2025 → $151,033 (-24% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Gibson County, IN",GIBSON COUNTY,LOCAL INCOME TAX,2025,robust_z|pct_change,1.125076923076923,28.239202657807308,1930000.0,1505000.0,Annual spike vs history,"Gibson County, IN: GIBSON COUNTY / LOCAL INCOME TAX in 2025 → $1,930,000 (28% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Gibson County, IN",GIBSON COUNTY,,2025,IsolationForest,0.5,,75004274.0,,Cross-sectional anomaly vs peers (totals + mix),"Gibson County, IN: GIBSON COUNTY in 2025 → $75,004,274 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
crosssection_year,"Gibson County, IN",GIBSON COUNTY,,2025,ECOD,0.0,,75004274.0,,Statistical outlier vs peers (ECOD),"Gibson County, IN: GIBSON COUNTY in 2025 → $75,004,274 — flagged by ECOD (Statistical outlier vs peers (ECOD))"
