scope,county,department,category,fiscal_year,method,score,pct_change,amount,prev_amount,note,script_line
timeseries_annual,"Pike County, IN",PIKE COUNTY,CUMULATIVE BRIDGE,2022,robust_z|pct_change,8.11670996570716,,279261.0,,Annual spike vs history,"Pike County, IN: PIKE COUNTY / CUMULATIVE BRIDGE in 2022 → $279,261 — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Pike County, IN",PIKE COUNTY,HIGHWAY,2022,robust_z|pct_change,5.1388016845329245,,2223991.0,,Annual spike vs history,"Pike County, IN: PIKE COUNTY / HIGHWAY in 2022 → $2,223,991 — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Pike County, IN",PIKE COUNTY,CUMULATIVE CAPITAL DEVELOPMENT,2022,robust_z|pct_change,3.8503919093572287,,72782.0,,Annual spike vs history,"Pike County, IN: PIKE COUNTY / CUMULATIVE CAPITAL DEVELOPMENT in 2022 → $72,782 — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Pike County, IN",PIKE COUNTY,LOCAL ROAD & STREET,2022,robust_z|pct_change,3.3725,,200000.0,,Annual spike vs history,"Pike County, IN: PIKE COUNTY / LOCAL ROAD & STREET in 2022 → $200,000 — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Pike County, IN",PIKE COUNTY,,2022,IsolationForest,0.5,,28208974.0,,Cross-sectional anomaly vs peers (totals + mix),"Pike County, IN: PIKE COUNTY in 2022 → $28,208,974 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
crosssection_year,"Pike County, IN",PIKE COUNTY,,2022,ECOD,0.0,,28208974.0,,Statistical outlier vs peers (ECOD),"Pike County, IN: PIKE COUNTY in 2022 → $28,208,974 — flagged by ECOD (Statistical outlier vs peers (ECOD))"
timeseries_annual,"Pike County, IN",PIKE COUNTY,ECONOMIC DEV INCOME TAX CEDIT,2023,robust_z|pct_change,0.805063823034491,54.24001927388154,1971826.0,1278414.0,Annual spike vs history,"Pike County, IN: PIKE COUNTY / ECONOMIC DEV INCOME TAX CEDIT in 2023 → $1,971,826 (54% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Pike County, IN",PIKE COUNTY,HIGHWAY,2023,robust_z|pct_change,0.7584251531393569,13.349019847652261,2520872.0,2223991.0,Annual spike vs history,"Pike County, IN: PIKE COUNTY / HIGHWAY in 2023 → $2,520,872 (13% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Pike County, IN",PIKE COUNTY,CUMULATIVE BRIDGE,2023,robust_z|pct_change,0.5119555232256053,19.425555304893987,333509.0,279261.0,Annual spike vs history,"Pike County, IN: PIKE COUNTY / CUMULATIVE BRIDGE in 2023 → $333,509 (19% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Pike County, IN",PIKE COUNTY,,2023,IsolationForest,0.5,,32898860.0,,Cross-sectional anomaly vs peers (totals + mix),"Pike County, IN: PIKE COUNTY in 2023 → $32,898,860 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
timeseries_annual,"Pike County, IN",PIKE COUNTY,HEALTH,2023,robust_z|pct_change,0.4601263476591345,8.861706855017891,232730.0,213785.0,Annual spike vs history,"Pike County, IN: PIKE COUNTY / HEALTH in 2023 → $232,730 (9% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
