scope,county,department,category,fiscal_year,method,score,pct_change,amount,prev_amount,note,script_line
timeseries_annual,"Spencer County, IN",SPENCER COUNTY,CUMULATIVE CAPITAL DEVELOPMENT,2022,robust_z|pct_change,19.84957142857143,,187000.0,,Annual spike vs history,"Spencer County, IN: SPENCER COUNTY / CUMULATIVE CAPITAL DEVELOPMENT in 2022 → $187,000 — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Spencer County, IN",SPENCER COUNTY,CUMULATIVE BRIDGE,2022,robust_z|pct_change,16.901351199999997,,585394.0,,Annual spike vs history,"Spencer County, IN: SPENCER COUNTY / CUMULATIVE BRIDGE in 2022 → $585,394 — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Spencer County, IN",SPENCER COUNTY,Plat Book Update,2022,robust_z|pct_change,5.097450819672131,,11800.0,,Annual spike vs history,"Spencer County, IN: SPENCER COUNTY / Plat Book Update in 2022 → $11,800 — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Spencer County, IN",SPENCER COUNTY,,2022,IsolationForest,0.5,,32790210.0,,Cross-sectional anomaly vs peers (totals + mix),"Spencer County, IN: SPENCER COUNTY in 2022 → $32,790,210 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
crosssection_year,"Spencer County, IN",SPENCER COUNTY,,2022,ECOD,0.0,,32790210.0,,Statistical outlier vs peers (ECOD),"Spencer County, IN: SPENCER COUNTY in 2022 → $32,790,210 — flagged by ECOD (Statistical outlier vs peers (ECOD))"
timeseries_annual,"Spencer County, IN",SPENCER COUNTY,CUMULATIVE BRIDGE,2023,robust_z|pct_change,1.349,-11.555294382928421,517750.0,585394.0,Annual spike vs history,"Spencer County, IN: SPENCER COUNTY / CUMULATIVE BRIDGE in 2023 → $517,750 (-12% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Spencer County, IN",SPENCER COUNTY,Law Enforcement Fund,2023,robust_z|pct_change,1.349,-66.66666666666667,1000.0,3000.0,Annual spike vs history,"Spencer County, IN: SPENCER COUNTY / Law Enforcement Fund in 2023 → $1,000 (-67% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Spencer County, IN",SPENCER COUNTY,Pre-Trial Diversion,2023,robust_z|pct_change,1.1176538680607824,-55.71459191693062,55785.0,125967.0,Annual spike vs history,"Spencer County, IN: SPENCER COUNTY / Pre-Trial Diversion in 2023 → $55,785 (-56% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Spencer County, IN",SPENCER COUNTY,E911,2023,robust_z|pct_change,1.0457979957323777,-69.09056938328412,84371.0,272962.0,Annual spike vs history,"Spencer County, IN: SPENCER COUNTY / E911 in 2023 → $84,371 (-69% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Spencer County, IN",SPENCER COUNTY,HEALTH,2023,robust_z|pct_change,0.6854046817110138,11.85750229641759,336096.0,300468.0,Annual spike vs history,"Spencer County, IN: SPENCER COUNTY / HEALTH in 2023 → $336,096 (12% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Spencer County, IN",SPENCER COUNTY,Plat Book Update,2023,robust_z|pct_change,0.6745,84.7457627118644,21800.0,11800.0,Annual spike vs history,"Spencer County, IN: SPENCER COUNTY / Plat Book Update in 2023 → $21,800 (85% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Spencer County, IN",SPENCER COUNTY,,2023,IsolationForest,0.5,,32263470.0,,Cross-sectional anomaly vs peers (totals + mix),"Spencer County, IN: SPENCER COUNTY in 2023 → $32,263,470 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
timeseries_annual,"Spencer County, IN",SPENCER COUNTY,CUMULATIVE CAPITAL DEVELOPMENT,2023,robust_z|pct_change,0.19271428571428573,54.54545454545455,289000.0,187000.0,Annual spike vs history,"Spencer County, IN: SPENCER COUNTY / CUMULATIVE CAPITAL DEVELOPMENT in 2023 → $289,000 (55% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Spencer County, IN",SPENCER COUNTY,ECONOMIC DEV INCOME TAX CEDIT,2023,robust_z|pct_change,0.0,-37.5,1250000.0,2000000.0,Annual spike vs history,"Spencer County, IN: SPENCER COUNTY / ECONOMIC DEV INCOME TAX CEDIT in 2023 → $1,250,000 (-38% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
