scope,county,department,category,fiscal_year,method,score,pct_change,amount,prev_amount,note,script_line
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Circuit Court Supplemental Adult Probation,2022,robust_z|pct_change,20.634977024070018,,825608.0,,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Circuit Court Supplemental Adult Probation in 2022 → $825,608 — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,CONVENTION & VISITORS BUREAU,2022,robust_z|pct_change,3.942649437023954,,1740826.0,,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / CONVENTION & VISITORS BUREAU in 2022 → $1,740,826 — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,GENERAL,2022,robust_z|pct_change,3.770670247359903,,55746372.0,,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / GENERAL in 2022 → $55,746,372 — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,HEALTH,2022,robust_z|pct_change,3.440355794666875,,3685691.0,,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / HEALTH in 2022 → $3,685,691 — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Vanderburgh County, IN",VANDERBURGH COUNTY,,2022,IsolationForest,0.5,,208390242.0,,Cross-sectional anomaly vs peers (totals + mix),"Vanderburgh County, IN: VANDERBURGH COUNTY in 2022 → $208,390,242 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
crosssection_year,"Vanderburgh County, IN",VANDERBURGH COUNTY,,2022,ECOD,0.0,,208390242.0,,Statistical outlier vs peers (ECOD),"Vanderburgh County, IN: VANDERBURGH COUNTY in 2022 → $208,390,242 — flagged by ECOD (Statistical outlier vs peers (ECOD))"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Local Drug Free Community,2023,robust_z|pct_change,1.2306169801813907,25.0,125000.0,100000.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Local Drug Free Community in 2023 → $125,000 (25% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Sheriff/Misdemeanor Offender,2023,robust_z|pct_change,1.1294955614775073,12.211726318757679,222848.0,198596.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Sheriff/Misdemeanor Offender in 2023 → $222,848 (12% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Prosecutor Pre-Trial Diversion,2023,robust_z|pct_change,0.7307132843007722,-63.36412534354081,59053.0,161189.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Prosecutor Pre-Trial Diversion in 2023 → $59,053 (-63% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Tourism Capital Improvement,2023,robust_z|pct_change,0.655588785046729,9.803921568627452,1680000.0,1530000.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Tourism Capital Improvement in 2023 → $1,680,000 (10% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,EMERGENCY TELEPHONE SYSTEM,2023,robust_z|pct_change,0.5825048489369639,20.176518384088045,1976000.0,1644248.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / EMERGENCY TELEPHONE SYSTEM in 2023 → $1,976,000 (20% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Auditor Plat Book Fund,2023,robust_z|pct_change,0.5272466280784143,83.80439659039928,73746.0,40122.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Auditor Plat Book Fund in 2023 → $73,746 (84% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Vanderburgh County, IN",VANDERBURGH COUNTY,,2023,IsolationForest,0.5,,222679192.0,,Cross-sectional anomaly vs peers (totals + mix),"Vanderburgh County, IN: VANDERBURGH COUNTY in 2023 → $222,679,192 — flagged by IsolationForest (Cross-sectional anomaly vs peers (totals + mix))"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,LOCAL ROAD & STREET,2023,robust_z|pct_change,0.4977756917200235,35.48049281314169,1649475.0,1217500.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / LOCAL ROAD & STREET in 2023 → $1,649,475 (35% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,CONVENTION & VISITORS BUREAU,2023,robust_z|pct_change,0.4964655798101335,21.270190128134576,2111103.0,1740826.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / CONVENTION & VISITORS BUREAU in 2023 → $2,111,103 (21% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,GENERAL,2023,robust_z|pct_change,0.4425392101023788,41.57854972158547,78924905.0,55746372.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / GENERAL in 2023 → $78,924,905 (42% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Circuit Court Supplemental Adult Probation,2023,robust_z|pct_change,0.4084109096592685,12.088545653627387,925412.0,825608.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Circuit Court Supplemental Adult Probation in 2023 → $925,412 (12% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Surveyor Corner Perpetuation,2023,robust_z|pct_change,0.30281035293266795,-13.58491678292822,175910.0,203564.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Surveyor Corner Perpetuation in 2023 → $175,910 (-14% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
crosssection_year,"Vanderburgh County, IN",VANDERBURGH COUNTY,,2023,ECOD,0.0,,222679192.0,,Statistical outlier vs peers (ECOD),"Vanderburgh County, IN: VANDERBURGH COUNTY in 2023 → $222,679,192 — flagged by ECOD (Statistical outlier vs peers (ECOD))"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Sheriff/Misdemeanor Offender,2024,robust_z|pct_change,0.7968820570742813,-36.30950244112579,141933.0,222848.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Sheriff/Misdemeanor Offender in 2024 → $141,933 (-36% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Tourism Capital Improvement,2024,robust_z|pct_change,0.6934112149532711,31.845238095238095,2215000.0,1680000.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Tourism Capital Improvement in 2024 → $2,215,000 (32% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Elected Officials Training,2024,robust_z|pct_change,0.6745,29.585798816568047,21900.0,16900.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Elected Officials Training in 2024 → $21,900 (30% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Enhanced Access Fund,2024,robust_z|pct_change,0.6745,44.827586206896555,42000.0,29000.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Enhanced Access Fund in 2024 → $42,000 (45% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Local Emergency Plan Commission,2024,robust_z|pct_change,0.6745,-24.52135493372607,8200.0,10864.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Local Emergency Plan Commission in 2024 → $8,200 (-25% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
timeseries_annual,"Vanderburgh County, IN",VANDERBURGH COUNTY,Prosecutor Pre-Trial Diversion,2024,robust_z|pct_change,0.6182867156992278,9.613398133879736,64730.0,59053.0,Annual spike vs history,"Vanderburgh County, IN: VANDERBURGH COUNTY / Prosecutor Pre-Trial Diversion in 2024 → $64,730 (10% YoY) — flagged by robust_z|pct_change (Annual spike vs history)"
