audit_test,entry_id,posting_ts,vendor_id,vendor_name,amount_rm,posted_by,approved_by
Duplicate payments,JE035413,2025-04-14 08:44:52,V001,Maju Jaya Trading Sdn Bhd,10047.42,U002,U015
Duplicate payments,JE035414,2025-04-18 08:44:52,V001,Maju Jaya Trading Sdn Bhd,10047.42,U001,U024
Duplicate payments,JE035411,2025-10-22 13:58:15,V005,Delima Fresh Supplies,782.02,U024,U017
Duplicate payments,JE035412,2025-10-27 13:58:15,V005,Delima Fresh Supplies,782.02,U024,U018
Duplicate payments,JE035405,2025-10-22 10:14:45,V007,Borneo Timber Industries,5783.56,U006,U018
Duplicate payments,JE035406,2025-10-27 10:14:45,V007,Borneo Timber Industries,5783.56,U009,U023
Duplicate payments,JE035494,2025-01-20 13:01:23,V008,Selangor Steel Works Sdn Bhd,15000.0,U002,U023
Duplicate payments,JE035487,2025-04-18 16:06:12,V008,Selangor Steel Works Sdn Bhd,15000.0,U019,U013
Duplicate payments,JE035509,2025-06-06 15:59:04,V008,Selangor Steel Works Sdn Bhd,15000.0,U010,U017
Duplicate payments,JE035493,2025-06-11 18:30:00,V008,Selangor Steel Works Sdn Bhd,15000.0,U005,U017
Duplicate payments,JE035503,2025-10-24 11:58:51,V008,Selangor Steel Works Sdn Bhd,15000.0,U012,U014
Duplicate payments,JE035407,2025-08-27 13:05:40,V010,Harmoni Facilities Management,3102.45,U022,U018
Duplicate payments,JE035408,2025-08-29 13:05:40,V010,Harmoni Facilities Management,3102.45,U019,U024
Duplicate payments,JE035415,2025-11-07 12:08:26,V032,Kota Kinabalu Freight,8572.68,U001,U024
Duplicate payments,JE035416,2025-11-10 12:08:26,V032,Kota Kinabalu Freight,8572.68,U024,U018
Duplicate payments,JE035403,2025-02-14 15:44:47,V035,Merdeka Uniform Supplies,2860.87,U009,U023
Duplicate payments,JE035404,2025-02-17 15:44:47,V035,Merdeka Uniform Supplies,2860.87,U010,U018
Duplicate payments,JE035423,2025-03-03 08:30:00,V042,Subang Aviation Parts,613.33,U022,U014
Duplicate payments,JE035424,2025-03-04 08:30:00,V042,Subang Aviation Parts,613.33,U007,U014
Duplicate payments,JE035401,2025-01-15 12:08:24,V045,Shah Alam Plastics Sdn Bhd,5730.89,U022,U015
Duplicate payments,JE035402,2025-01-20 12:08:24,V045,Shah Alam Plastics Sdn Bhd,5730.89,U004,U014
Duplicate payments,JE035417,2025-10-08 14:55:33,V049,Ampang Glass & Aluminium,2695.94,U010,U015
Duplicate payments,JE035418,2025-10-10 14:55:33,V049,Ampang Glass & Aluminium,2695.94,U003,U013
Duplicate payments,JE035419,2025-12-01 13:15:13,V052,Bandar Utama Events Sdn Bhd,3933.04,U002,U018
Duplicate payments,JE035420,2025-12-05 13:15:13,V052,Bandar Utama Events Sdn Bhd,3933.04,U023,U014
Duplicate payments,JE035409,2025-04-03 12:48:45,V053,Setapak Scaffolding,1215.95,U024,U018
Duplicate payments,JE035410,2025-04-07 12:48:45,V053,Setapak Scaffolding,1215.95,U001,U023
Duplicate payments,JE035421,2025-03-13 16:45:35,V058,Skudai Lab Equipment,1096.84,U023,U013
Duplicate payments,JE035422,2025-03-17 16:45:35,V058,Skudai Lab Equipment,1096.84,U001,U015
Threshold splitting,JE035429,2025-04-15 09:11:26,V003,TechNova Solutions Sdn Bhd,46713.75,U008,U013
Threshold splitting,JE035430,2025-04-16 09:11:26,V003,TechNova Solutions Sdn Bhd,48136.38,U008,U013
Threshold splitting,JE035431,2025-04-17 09:11:26,V003,TechNova Solutions Sdn Bhd,47113.94,U008,U018
Threshold splitting,JE035436,2025-03-10 11:53:59,V006,KL Metro Services Sdn Bhd,47360.82,U005,U023
Threshold splitting,JE035437,2025-03-11 11:53:59,V006,KL Metro Services Sdn Bhd,45993.11,U005,U024
Threshold splitting,JE035438,2025-03-12 11:53:59,V006,KL Metro Services Sdn Bhd,47519.49,U005,U017
Threshold splitting,JE001274,2025-06-04 17:15:53,V023,Sungai Besi Hardware,48916.07,U024,U015
Threshold splitting,JE008535,2025-06-06 14:37:26,V023,Sungai Besi Hardware,48140.38,U024,U014
Threshold splitting,JE035434,2025-10-08 12:14:07,V029,Temasek Instruments,45000.67,U001,U013
Threshold splitting,JE035435,2025-10-09 12:14:07,V029,Temasek Instruments,47250.12,U001,U018
Threshold splitting,JE035427,2025-10-13 11:18:45,V041,Genting View Hospitality,46098.6,U011,U013
Threshold splitting,JE035428,2025-10-14 11:18:45,V041,Genting View Hospitality,46957.26,U011,U015
Threshold splitting,JE026909,2025-01-10 14:13:55,V042,Subang Aviation Parts,45911.96,U005,U024
Threshold splitting,JE035432,2025-01-16 13:38:03,V042,Subang Aviation Parts,48415.4,U005,U014
Threshold splitting,JE035433,2025-01-17 13:38:03,V042,Subang Aviation Parts,45059.61,U005,U016
Threshold splitting,JE035425,2025-01-24 10:22:58,V046,Titiwangsa Medical Supplies,45845.83,U023,U015
Threshold splitting,JE035426,2025-01-27 10:22:58,V046,Titiwangsa Medical Supplies,46735.92,U023,U014
Threshold splitting,JE035442,2025-09-19 14:13:22,V052,Bandar Utama Events Sdn Bhd,48525.25,U022,U017
Threshold splitting,JE035444,2025-09-22 14:13:22,V052,Bandar Utama Events Sdn Bhd,45346.09,U022,U023
Threshold splitting,JE035443,2025-09-22 14:13:22,V052,Bandar Utama Events Sdn Bhd,48346.02,U022,U024
Threshold splitting,JE035439,2025-02-13 13:03:38,V055,Rawang Cement Distributors,47272.48,U005,U014
